## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=../data/nyu_pipeline_results/CollectAlignmentSummaryMetrics/BB034.sorted.bam_insert_size_histogram.pdf INPUT=/home/vdp5/projects/vivax_cambodia/data/sequences_bam/BB034.sorted.bam OUTPUT=../data/nyu_pipeline_results/CollectAlignmentSummaryMetrics/BB034.sorted.bam_insert_metrics.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Dec 06 14:19:56 EST 2016

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
339	39	2	2731783	339.807307	63.267432	6936022	FR	15	31	45	61	79	99	123	153	203	397			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	13
3	13
4	13
5	13
6	12
7	12
8	8
9	8
10	13
11	18
12	14
13	14
14	13
15	29
16	12
17	22
18	20
19	25
20	18
21	24
22	32
23	23
24	46
25	17
26	19
27	35
28	39
29	32
30	43
31	38
32	37
33	43
34	35
35	52
36	46
37	39
38	25
39	50
40	54
41	65
42	76
43	46
44	39
45	61
46	51
47	46
48	53
49	49
50	70
51	76
52	65
53	76
54	76
55	87
56	74
57	76
58	122
59	64
60	90
61	76
62	65
63	90
64	79
65	74
66	96
67	96
68	99
69	100
70	81
71	135
72	208
73	254
74	289
75	215
76	292
77	380
78	361
79	315
80	367
81	375
82	352
83	421
84	323
85	341
86	304
87	346
88	324
89	317
90	366
91	382
92	372
93	376
94	401
95	489
96	425
97	386
98	433
99	379
100	606
101	390
102	393
103	363
104	404
105	365
106	408
107	371
108	408
109	416
110	406
111	408
112	461
113	420
114	403
115	412
116	408
117	468
118	440
119	492
120	453
121	453
122	559
123	599
124	574
125	514
126	453
127	442
128	517
129	511
130	531
131	473
132	522
133	474
134	482
135	484
136	481
137	501
138	496
139	525
140	521
141	586
142	599
143	561
144	567
145	594
146	605
147	581
148	698
149	690
150	682
151	683
152	779
153	747
154	735
155	872
156	784
157	751
158	801
159	838
160	898
161	1005
162	901
163	917
164	940
165	960
166	995
167	1113
168	1076
169	1036
170	1147
171	1191
172	1324
173	1282
174	1252
175	1340
176	1324
177	1436
178	1424
179	1562
180	1529
181	1631
182	1532
183	1663
184	1632
185	1789
186	1836
187	1916
188	2015
189	2022
190	2039
191	2119
192	2218
193	2231
194	2392
195	2355
196	2528
197	2577
198	2705
199	2715
200	2821
201	3013
202	2911
203	3280
204	3335
205	3342
206	3673
207	3677
208	3738
209	3796
210	3926
211	4213
212	4259
213	4340
214	4511
215	4701
216	4871
217	4920
218	5179
219	5330
220	5654
221	5737
222	5884
223	6209
224	6286
225	6431
226	6815
227	6825
228	7054
229	7009
230	7448
231	7531
232	7921
233	8279
234	8345
235	8725
236	8956
237	9331
238	9429
239	9930
240	10034
241	10180
242	10693
243	10805
244	11119
245	11442
246	12051
247	12241
248	12627
249	12857
250	13345
251	13576
252	13935
253	14293
254	14539
255	15165
256	15507
257	16418
258	16440
259	16705
260	17216
261	17718
262	18449
263	18558
264	18986
265	19520
266	19923
267	20330
268	21084
269	21647
270	21946
271	22376
272	22825
273	23571
274	23625
275	24569
276	25291
277	25792
278	25949
279	26643
280	27092
281	27752
282	28093
283	28623
284	29374
285	29576
286	30411
287	30896
288	31627
289	31926
290	32568
291	33010
292	33335
293	33730
294	34801
295	35145
296	35731
297	36111
298	36585
299	37154
300	37554
301	38522
302	39174
303	39076
304	40097
305	39971
306	40992
307	40570
308	40944
309	41538
310	42382
311	42718
312	43139
313	43882
314	43979
315	43827
316	44307
317	44716
318	44961
319	45567
320	45772
321	46149
322	46392
323	46396
324	47138
325	46877
326	47371
327	47898
328	47356
329	47574
330	47859
331	47987
332	48559
333	48156
334	48612
335	48518
336	48259
337	48225
338	48322
339	48569
340	48063
341	47906
342	48574
343	48083
344	48167
345	47896
346	48072
347	47311
348	48046
349	47126
350	46917
351	46978
352	46608
353	46347
354	46065
355	45817
356	45668
357	45718
358	45272
359	44435
360	44226
361	44163
362	43736
363	43649
364	43113
365	42637
366	42627
367	42136
368	40808
369	41406
370	40128
371	40260
372	39894
373	38922
374	39100
375	38426
376	37881
377	37548
378	37216
379	36591
380	36118
381	35650
382	34715
383	34157
384	34230
385	33332
386	32963
387	32726
388	31788
389	31283
390	31062
391	30130
392	29887
393	29556
394	28861
395	28446
396	27787
397	27385
398	26617
399	26716
400	25881
401	25622
402	24878
403	24936
404	24037
405	23529
406	22814
407	22478
408	22114
409	22019
410	21312
411	20758
412	20191
413	19871
414	19288
415	19202
416	18614
417	18434
418	17760
419	17439
420	17113
421	16893
422	16127
423	15827
424	15626
425	15002
426	14748
427	14444
428	14321
429	13584
430	13514
431	12828
432	12523
433	12404
434	12095
435	12107
436	11579
437	11203
438	11118
439	10543
440	10162
441	10139
442	9914
443	9511
444	9045
445	9074
446	8724
447	8456
448	8258
449	7881
450	7959
451	7691
452	7543
453	7402
454	7050
455	6956
456	6607
457	6445
458	6326
459	6109
460	5938
461	5866
462	5615
463	5471
464	5335
465	5158
466	5008
467	4950
468	4782
469	4486
470	4380
471	4448
472	4187
473	4087
474	4048
475	3837
476	3679
477	3625
478	3473
479	3444
480	3286
481	3173
482	3193
483	3036
484	2903
485	2834
486	2736
487	2702
488	2644
489	2489
490	2479
491	2418
492	2306
493	2176
494	2142
495	2119
496	2078
497	2028
498	1948
499	1751
500	1702
501	1818
502	1690
503	1675
504	1551
505	1518
506	1595
507	1484
508	1378
509	1393
510	1321
511	1250
512	1317
513	1242
514	1152
515	1192
516	1113
517	1071
518	1052
519	963
520	1017
521	931
522	923
523	852
524	933
525	897
526	880
527	801
528	793
529	747
530	757
531	766
532	739
533	714
534	678
535	635
536	613
537	635
538	559
539	545
540	580
541	572
542	506
543	531
544	547
545	478
546	498
547	470
548	462
549	433
550	408
551	425
552	395
553	384
554	383
555	447
556	392
557	359
558	334
559	355
560	302
561	350
562	331
563	281
564	302
565	279
566	304
567	270
568	277
569	242
570	249
571	247
572	257
573	254
574	226
575	232
576	205
577	209
578	216
579	223
580	214
581	206
582	188
583	196
584	181
585	182
586	170
587	171
588	177
589	172
590	159
591	169
592	148
593	137
594	150
595	112
596	129
597	137
598	124
599	108
600	140
601	133
602	139
603	110
604	134
605	126
606	146
607	149
608	138
609	123
610	105
611	97
612	76
613	60
614	89
615	93
