## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=../data/nyu_pipeline_results/CollectAlignmentSummaryMetrics/KP070.sorted.bam_insert_size_histogram.pdf INPUT=/home/vdp5/projects/vivax_cambodia/data/sequences_bam/KP070.sorted.bam OUTPUT=../data/nyu_pipeline_results/CollectAlignmentSummaryMetrics/KP070.sorted.bam_insert_metrics.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Dec 06 14:25:32 EST 2016

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
382	88	2	2930922	380.489399	135.236568	4539478	FR	33	67	101	137	177	223	275	341	441	727			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	98
3	160
4	142
5	143
6	136
7	266
8	345
9	278
10	265
11	454
12	333
13	344
14	499
15	448
16	347
17	382
18	414
19	8402
20	3767
21	2318
22	1721
23	1297
24	1149
25	1446
26	1188
27	1427
28	1000
29	1313
30	855
31	1118
32	766
33	1016
34	1533
35	1094
36	972
37	725
38	750
39	899
40	775
41	769
42	652
43	815
44	665
45	833
46	822
47	607
48	849
49	688
50	843
51	872
52	1027
53	851
54	1048
55	713
56	734
57	600
58	662
59	800
60	683
61	628
62	569
63	793
64	627
65	755
66	1136
67	793
68	767
69	735
70	789
71	828
72	950
73	931
74	881
75	678
76	804
77	864
78	775
79	840
80	931
81	927
82	950
83	1214
84	1021
85	898
86	792
87	884
88	1014
89	983
90	1117
91	1021
92	988
93	1078
94	1058
95	1306
96	1095
97	1149
98	1265
99	1125
100	1481
101	1110
102	1154
103	1182
104	1317
105	1348
106	1429
107	1358
108	1387
109	1429
110	1420
111	1490
112	1548
113	1569
114	1596
115	1538
116	1589
117	1781
118	1797
119	1881
120	1709
121	1890
122	2236
123	2347
124	2302
125	2038
126	1830
127	1873
128	1890
129	2144
130	2089
131	2262
132	2011
133	2062
134	2145
135	2237
136	2124
137	2302
138	2269
139	2368
140	2380
141	2539
142	2514
143	2620
144	2473
145	2794
146	2657
147	2820
148	2767
149	2773
150	2873
151	2960
152	3026
153	3214
154	3212
155	3447
156	3361
157	3092
158	3321
159	3429
160	3594
161	3528
162	3439
163	3685
164	3598
165	3467
166	3776
167	3987
168	3780
169	3812
170	4073
171	4000
172	4126
173	4019
174	4037
175	4247
176	4214
177	4373
178	4285
179	4544
180	4549
181	4508
182	4544
183	4626
184	4755
185	4619
186	4722
187	4911
188	4795
189	4855
190	5016
191	4930
192	5140
193	5257
194	5319
195	5226
196	5035
197	5178
198	5294
199	5523
200	5590
201	5602
202	5658
203	5529
204	5593
205	5909
206	5781
207	6078
