## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=../data/nyu_pipeline_results/CollectAlignmentSummaryMetrics/OM076.sorted.bam_insert_size_histogram.pdf INPUT=/home/vdp5/projects/vivax_cambodia/data/sequences_bam/OM076.sorted.bam OUTPUT=../data/nyu_pipeline_results/CollectAlignmentSummaryMetrics/OM076.sorted.bam_insert_metrics.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Dec 06 14:29:49 EST 2016

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
207	9	2	2533559	208.416052	25.880012	3703893	FR	5	7	11	15	19	25	35	59	105	207			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	16
3	10
4	12
5	6
6	9
7	6
8	7
9	11
10	18
11	16
12	16
13	13
14	11
15	23
16	24
17	17
18	13
19	26
20	25
21	25
22	27
23	39
24	32
25	27
26	35
27	26
28	42
29	45
30	76
31	58
32	73
33	50
34	51
35	99
36	88
37	89
38	95
39	86
40	93
41	72
42	55
43	75
44	80
45	84
46	75
47	73
48	66
49	76
50	109
51	86
52	85
53	94
54	66
55	77
56	71
57	87
58	89
59	81
60	52
61	69
62	66
63	72
64	67
65	62
66	88
67	76
68	63
69	80
70	111
71	81
72	109
73	146
74	91
75	110
76	181
77	147
78	119
79	118
80	132
81	125
82	113
83	140
84	120
85	138
86	155
87	141
88	133
89	121
90	161
91	138
92	134
93	125
94	146
95	244
96	161
97	170
98	140
99	185
100	179
101	195
102	159
103	181
104	215
105	203
106	277
107	202
108	213
109	207
110	217
111	352
112	311
113	259
114	273
115	234
116	337
117	339
118	383
119	479
120	415
121	438
122	835
123	773
124	863
125	598
126	529
127	568
128	687
129	779
130	858
131	902
132	935
133	949
134	882
135	927
136	1012
137	1152
138	1040
139	1215
140	1239
141	1610
142	1502
143	1423
144	1362
145	6159
146	5043
147	5076
148	5272
149	4966
150	4818
151	6497
152	4878
153	5626
154	6019
155	9187
156	7749
157	5434
158	5349
159	5762
160	7117
161	8864
162	6402
163	6040
164	6350
165	6389
166	6629
167	7628
168	8021
169	7698
170	7673
171	7804
172	10216
173	9005
174	9165
175	9437
176	9927
177	10948
178	11188
179	12900
180	12698
181	13471
182	14897
183	16609
184	18258
185	20160
186	21433
187	24008
188	27014
189	29842
190	34467
191	38884
192	44439
193	49892
194	56850
195	63508
196	70623
197	77618
198	84582
199	90490
200	96144
201	101708
202	105196
203	108003
204	110370
205	111377
206	110835
207	111477
208	109839
209	107629
210	104575
211	99728
212	94799
213	88631
214	82058
215	74603
216	67839
217	60725
218	53398
219	46622
220	40776
221	35069
222	30147
223	25985
224	22187
225	19583
226	17420
227	15353
228	13618
229	12405
230	11441
231	10585
232	9705
233	9258
234	8703
235	8715
236	8086
237	8055
238	7545
239	7683
240	7343
241	7214
242	7299
243	7054
244	7331
245	7162
246	8059
247	7337
248	7345
249	7643
250	7663
251	7879
252	8613
253	8805
254	9046
255	9865
256	10119
257	12230
258	10478
259	10655
260	11421
261	11686
262	11758
263	12195
264	11766
265	13083
266	11983
267	12056
268	11873
269	11735
270	12896
271	10071
272	8770
273	8212
274	7686
275	7282
276	6856
277	6309
278	5575
279	5164
280	4590
281	3992
282	3450
283	3077
284	2641
285	2236
286	1933
287	1594
288	1478
289	1222
290	1087
291	911
292	837
293	726
294	665
295	567
296	556
297	518

