## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=../data/nyu_pipeline_results/CollectAlignmentSummaryMetrics/OM105.sorted.bam_insert_size_histogram.pdf INPUT=/home/vdp5/projects/vivax_cambodia/data/sequences_bam/OM105.sorted.bam OUTPUT=../data/nyu_pipeline_results/CollectAlignmentSummaryMetrics/OM105.sorted.bam_insert_metrics.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Dec 06 14:32:23 EST 2016

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
208	47	2	2838141	198.30724	76.390724	1229856	FR	19	35	49	69	95	121	157	177	235	829			
1183	1168	2	2740934	1962.224914	2140.362943	309815	RF	1239	1757	2079	2203	2337	3531	3897	4371	5843	16493			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count	All_Reads.rf_count
2	20	557
3	15	3212
4	9	2462
5	10	1036
6	20	1424
7	22	1078
8	35	2144
9	41	1604
10	30	795
11	44	939
12	72	1017
13	30	1830
14	34	730
15	66	669
16	30	955
17	65	891
18	56	541
19	53	1905
20	66	2139
21	69	827
22	105	412
23	108	468
24	134	457
25	98	351
26	108	421
27	142	506
28	133	417
29	148	530
30	339	453
31	241	300
32	293	315
33	257	312
34	190	235
35	461	697
36	372	294
37	322	342
38	330	1470
39	365	224
40	348	422
41	394	294
42	359	254
43	425	222
44	426	482
45	363	332
46	395	266
47	445	728
48	384	302
49	426	218
50	839	1378
51	423	237
52	470	272
53	535	290
54	391	246
55	433	385
56	335	218
57	296	269
58	300	294
59	268	303
60	290	259
61	291	231
62	269	283
63	559	229
64	360	228
65	462	186
66	822	243
67	846	250
68	914	318
69	1107	239
70	1437	216
71	1803	258
72	1825	199
73	2418	325
74	1913	569
75	1746	253
76	2179	223
77	2037	406
78	1841	1008
79	1901	327
80	2375	348
81	2393	326
82	2436	746
83	4629	429
84	2560	691
85	2497	359
86	2097	491
87	1822	359
88	2334	484
89	2181	299
90	3010	369
91	2105	402
92	1726	366
93	2423	384
94	2083	466
95	4491	440
96	1877	352
97	1974	370
98	2158	330
99	2100	337
100	3829	437
101	1576	409
102	1566	582
103	1532	483
104	1786	712
105	2079	477
106	3470	682
107	2198	501
108	2295	753
109	2624	479
110	3067	560
111	3794	612
112	4537	613
113	4705	462
114	4113	449
115	3736	411
116	3809	761
117	4376	473
118	4930	602
119	6157	456
120	4868	401
121	7093	412
122	14009	734
123	16831	1047
124	18370	405
125	7839	353
126	2855	507
127	3678	395
128	4758	327
129	8098	496
130	8178	649
131	7308	420
132	4095	588
133	3692	465
134	2837	448
135	3283	326
136	3789	276
137	4346	356
138	3440	2562
139	4064	195
140	3977	252
141	4972	223
142	6450	168
143	3536	185
144	3351	149
145	7763	475
146	5554	191
147	4864	197
148	5275	155
149	4365	363
150	4349	242
151	7934	444
152	4206	598
153	6340	434
154	6282	299
155	15287	882
156	11662	742
157	3754	344
158	4049	355
159	4429	342
160	8548	361
161	12473	327
162	4399	620
163	3107	205
164	3332	172
165	3021	240
166	3695	384
167	5378	198
168	6292	654
169	4190	169
170	3632	316
171	3190	446
172	9561	289
173	5356	197
174	3572	183
175	3114	145
176	3092	132
177	3768	102
178	3369	165
179	6979	176
180	3278	543
181	3252	563
182	2897	287
183	3414	442
184	3343	137
185	3882	275
186	3241	125
187	3478	175
188	2899	994
189	3230	354
190	3459	256
191	3535	135
192	2843	348
193	2937	254
194	3905	161
195	3426	64
196	3305	162
197	3512	89
198	3616	89
199	3526	40
200	3922	335
201	3584	93
202	4130	186
203	4451	51
204	4934	149
205	4844	55
206	6768	113
207	5950	343
208	5741	209
209	6502	2021
210	8440	884
211	7363	184
212	8694	96
213	8827	115
214	9725	210
215	9819	76
216	10443	76
217	11675	89
218	12532	70
219	12197	384
220	13912	117
221	13048	152
222	13292	719
223	13908	91
224	13860	76
225	13809	147
226	16005	47
227	13820	98
228	13193	38
229	13198	60
230	12328	78
231	11806	53
232	11416	52
233	10786	50
234	10496	86
235	9677	52
236	9050	687
237	8615	33
238	7898	137
239	7754	116
240	6575	41
241	6292	56
242	5584	35
243	5414	44
244	4933	35
245	4630	21
246	8601	22
247	3966	36
248	3559	25
249	3320	40
250	3121	80
251	3042	46
252	3446	325
253	2961	48
254	2706	42
255	3321	37
256	3395	37
257	7184	41
258	2378	23
259	2146	28
260	2277	31
261	2280	13
262	2265	26
263	2270	25
264	2180	24
265	2272	26
266	2203	19
267	2107	18
268	2121	25
269	2037	35
270	2130	24
271	2051	21
272	2350	26
273	2989	29
274	2266	21
275	2363	26
276	2692	14
277	2475	29
278	2398	33
279	2504	33
280	2466	39
281	2504	60
282	2639	48
283	2575	39
284	2610	40
285	2577	41
286	2602	24
287	2688	24
288	7474	28
289	2676	28
290	2952	23
291	2501	25
292	2346	44
293	2337	55
294	2307	31
295	3170	24
296	2381	23
297	1803	18
298	1732	47
299	1708	152
300	1618	585
301	1772	107
302	1405	98
303	1185	100
304	1166	263
305	915	250
306	1144	103
307	749	120
308	688	110
309	644	101
310	615	109
311	652	77
312	576	99
313	617	126
314	523	205
315	560	129
316	478	268
317	506	123
318	647	142
319	758	128
320	647	104
321	1326	80
322	874	88
323	4606	105
324	1300	47
325	2236	54
326	545	48
327	433	56
328	538	70
329	1279	45
330	1624	56
331	1122	252
332	810	63
333	270	90
334	304	154
335	250	54
336	278	47
337	236	49
338	243	41
339	232	27
340	235	120
341	221	71
342	215	221
343	242	125
344	241	1158
345	231	229
346	209	233
347	243	151
348	223	52
349	226	71
350	278	106
351	232	81
352	205	161
353	248	120
354	225	192
355	218	180
356	209	66
357	246	56
358	234	45
359	293	49
360	322	175
361	271	100
362	286	82
363	253	158
364	265	132
365	252	61
366	366	44
367	256	47
368	249	29
369	191	33
370	185	23
371	197	25
372	221	78
373	204	94
374	201	42
375	202	52
376	203	55
377	221	41
378	174	58
379	155	46
380	177	125
381	163	48
382	138	43
383	153	79
384	157	55
385	150	54
386	155	62
387	144	45
388	145	34
389	131	66
390	133	46
391	133	75
392	121	44
393	137	44
394	150	46
395	121	37
396	130	52
397	142	26
398	155	42
399	152	19
400	150	27
401	138	30
402	149	37
403	145	30
404	156	28
405	168	17
406	127	30
407	126	19
408	163	33
409	120	32
410	135	31
411	138	24
412	119	30
413	133	30
414	131	27
415	105	22
416	138	21
417	144	22
418	122	37
419	145	38
